Trial,Success Rate (%),Batch Time (s),Successes,Failures,Total Requests,Error
1,98.60,50.70,493,7,500,
2,98.40,47.57,492,8,500,
3,99.80,53.94,499,1,500,
4,99.80,56.36,499,1,500,
5,99.20,52.85,496,4,500,

SUMMARY STATISTICS
Metric,Value
Algorithm,RLAgent
Total Trials,5
Valid Trials,5
Failed Trials,0

Success Rate Mean (%),99.16
Success Rate Std Dev (%),0.65
Success Rate Min (%),98.40
Success Rate Max (%),99.80

Batch Time Mean (s),52.28
Batch Time Std Dev (s),3.33
Batch Time Min (s),47.57
Batch Time Max (s),56.36
