Trial,Success Rate (%),Failure Rate (%),Throughput (req/s),Avg Latency (s),Load Variance,Batch Time (s),Successes,Failures,Total Requests,Error
1,100.00,0.00,10.08,0.3556,28011.5556,39.67,400,0,400,
2,100.00,0.00,10.86,0.3550,30184.2222,36.85,400,0,400,
3,99.50,0.50,10.27,0.3578,25699.5556,38.77,398,2,400,
4,94.25,5.75,9.20,0.3590,12064.8889,40.97,377,23,400,
5,84.25,15.75,11.13,0.3574,7970.8889,30.27,337,63,400,

SUMMARY STATISTICS
Metric,Value
Algorithm,RLAgent
Mode,model4
Total Trials,5
Valid Trials,5
Failed Trials,0

Success Rate Mean (%),95.60
Success Rate Std Dev (%),6.79
Success Rate Min (%),84.25
Success Rate Max (%),100.00
Failure Rate Mean (%),4.40
Failure Rate Std Dev (%),6.79
Failure Rate Min (%),0.00
Failure Rate Max (%),15.75

Throughput Mean (req/s),10.31
Throughput Std Dev (req/s),0.75
Throughput Min (req/s),9.20
Throughput Max (req/s),11.13

Avg Latency Mean (s),0.3570
Avg Latency Std Dev (s),0.0016
Avg Latency Min (s),0.3550
Avg Latency Max (s),0.3590

Load Variance Mean,20786.2222
Load Variance Std Dev,10061.8477
Load Variance Min,7970.8889
Load Variance Max,30184.2222

Batch Time Mean (s),37.31
Batch Time Std Dev (s),4.21
Batch Time Min (s),30.27
Batch Time Max (s),40.97
